dt,comptime,Phe_Bid,Phe_Ask,Phe_bid_chng,Phe_ask_chng,phe_sig,Phediff,btc_price
02/19/2023 18:55:38,1676850938.0,56438000.0,187561000.0,-3.34,-0.03,SELL,69.91,24320.0
02/19/2023 18:55:51,1676850951.0,219906000.0,93866000.0,0.74,-1.0,BUY,57.32,24311.3
02/19/2023 18:55:54,1676850954.0,144453000.0,169549000.0,-0.52,0.45,SELL,14.8,24302.2
02/19/2023 18:56:01,1676850961.0,64292000.0,272700000.0,-1.25,0.38,SELL,76.42,24309.3
02/19/2023 18:56:04,1676850964.0,64213000.0,188906000.0,-0.0,-0.44,SELL,66.01,24309.3
02/19/2023 18:56:06,1676850966.0,145341000.0,327388000.0,0.56,0.42,SELL,55.61,24309.3
02/19/2023 18:56:16,1676850976.0,164244000.0,357114000.0,0.12,0.08,SELL,54.01,24323.5
02/19/2023 18:56:21,1676850981.0,126134000.0,306455000.0,-0.3,-0.17,SELL,58.84,24326.2
02/19/2023 18:56:31,1676850991.0,134789000.0,113933000.0,0.06,-1.69,BUY,15.47,24326.0
02/19/2023 18:56:35,1676850995.0,200668000.0,264961000.0,0.33,0.57,SELL,24.27,24317.5
02/19/2023 18:56:39,1676850999.0,253765000.0,245591000.0,0.21,-0.08,BUY,3.22,24317.5
02/19/2023 18:56:44,1676851004.0,237650000.0,217509000.0,-0.07,-0.13,BUY,8.48,24312.2
02/19/2023 18:56:48,1676851008.0,275243000.0,310319000.0,0.14,0.3,SELL,11.3,24312.2
02/19/2023 18:56:51,1676851011.0,290344000.0,262601000.0,0.05,-0.18,BUY,9.56,24305.8
02/19/2023 18:56:57,1676851017.0,168937000.0,280473000.0,-0.72,0.06,SELL,39.77,24305.6
02/19/2023 18:57:01,1676851021.0,285522000.0,212779000.0,0.41,-0.32,BUY,25.48,24305.3
02/19/2023 18:57:04,1676851024.0,205324000.0,289230000.0,-0.39,0.26,SELL,29.01,24300.1
02/19/2023 18:57:10,1676851030.0,160785000.0,261081000.0,-0.28,-0.11,SELL,38.42,24295.3
02/19/2023 18:57:25,1676851045.0,71931000.0,331667000.0,-1.24,0.21,SELL,78.31,24284.5
02/19/2023 18:57:35,1676851055.0,181219000.0,187112000.0,0.6,-0.77,SELL,3.15,24285.0
02/19/2023 18:57:38,1676851058.0,153563000.0,282192000.0,-0.18,0.34,SELL,45.58,24285.0
02/19/2023 18:57:40,1676851060.0,169350000.0,312726000.0,0.09,0.1,SELL,45.85,24278.1
02/19/2023 18:57:50,1676851070.0,196913000.0,205634000.0,0.14,-0.52,SELL,4.24,24271.7
02/19/2023 18:57:52,1676851072.0,261511000.0,183526000.0,0.25,-0.12,BUY,29.82,24271.7
02/19/2023 18:58:01,1676851081.0,188365000.0,140846000.0,-0.39,-0.3,BUY,25.23,24268.0
02/19/2023 18:58:03,1676851083.0,209578000.0,404313000.0,0.1,0.65,SELL,48.16,24268.0
02/19/2023 18:58:05,1676851085.0,112611000.0,147955000.0,-0.86,-1.73,SELL,23.89,24268.0
02/19/2023 18:58:20,1676851100.0,24354000.0,371487000.0,-3.62,0.6,SELL,93.44,24245.8
02/19/2023 18:58:34,1676851114.0,22177000.0,292814000.0,-0.1,-0.27,SELL,92.43,24280.0
02/19/2023 18:58:37,1676851117.0,24959000.0,193909000.0,0.11,-0.51,SELL,87.13,24280.0
02/19/2023 18:58:48,1676851128.0,20203000.0,204091000.0,-0.24,0.05,SELL,90.1,24295.8
02/19/2023 18:58:50,1676851130.0,22215000.0,302008000.0,0.09,0.32,SELL,92.64,24292.3
